scaffold,n_test,bal_acc,correct,label_dist
O=C1NC(Cc2ccccc2)CO1,501,0.652,371,"{2: 203, 1: 168, 0: 74, 3: 56}"
O=C1NCCO1,137,0.5519,79,"{1: 21, 3: 31, 2: 56, 0: 29}"
O=C1NCC(c2ccccc2)O1,94,0.6741,71,"{1: 46, 0: 31, 3: 5, 2: 12}"
S=C1NC(Cc2ccccc2)CS1,93,0.6161,52,"{1: 41, 2: 46, 0: 3, 3: 3}"
O=S1(=O)CC23CCC(CC2N1)C3,86,0.4702,51,"{0: 31, 1: 34, 3: 12, 2: 9}"
S=C1NC(Cc2ccccc2)CO1,51,0.5827,28,"{2: 21, 1: 24, 3: 5, 0: 1}"
O=S(=O)(c1ccccc1)N(CCc1ccccc1)Cc1ccccc1,35,0.5855,25,"{1: 6, 0: 19, 3: 6, 2: 4}"
S=C1NCCS1,26,0.6157,14,"{1: 17, 3: 1, 2: 5, 0: 3}"
S=C1NCCO1,21,0.375,6,"{1: 8, 2: 13}"
O=C1NC(C(c2ccccc2)c2ccccc2)CO1,18,0.4706,16,"{0: 17, 2: 1}"
O=C1NC23CCC(CC2O1)C3,16,0.4222,7,"{2: 6, 1: 5, 0: 5}"
c1ccccc1,13,0.8333,11,"{0: 4, 1: 7, 3: 2}"
O=C(CCc1ccccc1)N1C(=O)OCC1Cc1ccccc1,10,0.8333,9,"{2: 6, 0: 2, 1: 2}"
O=C1NC(c2ccccc2)CO1,9,1.0,9,"{1: 7, 2: 2}"
S=C1NC23CCC(CC2O1)C3,9,0.0,0,"{1: 6, 2: 3}"
C=C(OB1C2CCCC1CCC2)N1C(=O)OCC1Cc1ccccc1,8,0.3333,5,"{2: 5, 3: 1, 1: 2}"
O=C1NC2OC3COCOC3C2O1,8,0.875,7,{1: 8}
O=C(CCCOCc1ccccc1)N1C2CC3CCC2(C3)CS1(=O)=O,7,0.0,0,{0: 7}
O=C(CCN(Cc1ccccc1)Cc1ccccc1)N1CCOC1=O,6,0.0,0,"{2: 5, 3: 1}"
O=C1NCC(c2ccccc2)(c2ccccc2)O1,5,0.2222,2,"{2: 1, 1: 3, 3: 1}"
O=C1NC2c3ccccc3CC2O1,4,0.75,3,{2: 4}
O=C1NC2C3CCC(C3)C2O1,4,0.6667,2,"{3: 1, 2: 2, 0: 1}"
O=C(CCCC(=O)N1CCSC1=S)N1CCSC1=S,4,0.25,1,{1: 4}
O=C(CCCOCc1ccccc1)N1C(=O)OCC1Cc1ccccc1,3,0.3333,1,"{2: 1, 1: 1, 0: 1}"
O=C(CCCc1ccccc1)N1C(=S)SCC1Cc1ccccc1,3,1.0,3,{2: 3}
O=S(=O)(NCCc1ccccc1)c1ccccc1,3,0.0,0,"{2: 2, 1: 1}"
O=C(CCCCO[SiH](c1ccccc1)c1ccccc1)N1C(=O)OCC1c1ccccc1,3,0.0,0,{3: 3}
O=C(CCc1ccccc1)N1CC(c2ccccc2)OC1=O,3,0.5,2,"{3: 1, 2: 2}"
O=C(COCc1ccccc1)N1CCOC1=O,3,1.0,3,{0: 3}
O=C1NC2CCCC2O1,3,0.6667,2,{1: 3}
O=C(CCCCc1ccccc1)N1C(=O)OCC1Cc1ccccc1,2,1.0,2,{1: 2}
O=C(CC=CCCCCCCC1OCCO1)N1CC(c2ccccc2)(c2ccccc2)OC1=S,2,1.0,2,{3: 2}
O=C1Cc2ccccc2N1,2,1.0,2,{3: 2}
O=C1c2ccccc2C(=O)N1CCCCC(=O)N1C(=O)OCC1Cc1ccccc1,2,1.0,2,{0: 2}
C=C(CCCC(=O)N1C(=O)OCC1Cc1ccccc1)COCc1ccccc1,2,1.0,2,{2: 2}
O=C(CCN1C(=O)c2ccccc2C1=O)N1CCOC1=O,2,0.5,1,"{2: 1, 1: 1}"
O=C(CCc1ccccc1)N1CCOC1=O,2,0.5,1,"{3: 1, 0: 1}"
O=C(CCCCOCc1ccccc1)N1C(=O)OCC1Cc1ccccc1,2,1.0,2,"{1: 1, 0: 1}"
S=C1NC(c2ccccc2)CO1,2,0.5,1,"{0: 1, 2: 1}"
O=C(CCC=CCCCOCc1ccccc1)N1C2CC3CCC2(C3)CS1(=O)=O,2,1.0,2,{1: 2}
O=C(CCc1ccc2c(c1)OCO2)N1C(=O)OCC1Cc1ccccc1,2,0.5,1,"{2: 1, 0: 1}"
O=C(CCCC(=O)N1CCOC1=O)N1CCOC1=O,2,0.0,0,{1: 2}
,2,0.0,0,"{2: 1, 3: 1}"
